Class,Student ID,Score
1,1029,60
1,1022,41
2,1052,71
2,1067,19
1,1009,10
1,1016,81
1,1013,87
2,1097,20
1,1045,49
2,1092,8
2,1058,43
2,1086,4
2,1075,4
1,1047,5
2,1100,82
2,1083,63
2,1091,29
2,1099,97
1,1003,10
2,1051,2
1,1002,7
2,1081,59
2,1058,9
2,1096,91
1,1031,94
2,1064,10
2,1091,69
1,1021,16
2,1061,57
2,1063,92
2,1092,82
2,1078,100
2,1061,19
1,1016,86
1,1038,82
2,1061,0
1,1026,80
2,1052,41
2,1082,42
1,1012,35
2,1071,6
2,1072,45
2,1085,85
1,1033,4
2,1065,87
1,1039,34
1,1048,2
2,1056,0
1,1039,86
2,1099,80
1,1041,35
2,1100,95
1,1039,19
1,1038,67
1,1015,60
1,1009,90
1,1010,77
1,1050,22
1,1015,8
2,1078,79
2,1065,7
1,1038,46
1,1027,36
2,1072,34
2,1098,67
2,1065,99
2,1095,77
2,1070,58
2,1061,94
2,1079,17
2,1074,43
2,1055,86
2,1064,21
2,1089,79
1,1019,77
1,1041,67
1,1046,12
1,1041,39
2,1096,17
2,1085,84
1,1032,54
2,1093,20
1,1006,41
1,1025,59
1,1037,7
1,1026,53
2,1058,53
1,1050,82
2,1060,31
2,1088,37
1,1022,42
2,1088,91
2,1078,57
2,1057,85
2,1060,60
2,1083,47
2,1075,1
2,1088,82
2,1094,4
2,1066,25
1,1043,54
2,1100,70
1,1050,40
2,1055,43
2,1064,82
1,1049,22
1,1002,38
1,1006,64
1,1002,26
1,1036,68
1,1039,46
1,1048,92
2,1059,41
2,1080,76
1,1040,33
2,1071,36
1,1028,14
2,1067,48
1,1045,8
2,1092,40
2,1082,53
1,1018,39
2,1097,58
1,1017,27
2,1092,22
2,1071,36
1,1007,6
2,1091,35
2,1081,99
1,1044,34
1,1049,36
2,1079,69
2,1097,11
2,1070,67
2,1052,61
2,1091,1
2,1071,12
2,1059,100
1,1036,84
2,1078,23
1,1009,1
1,1010,7
2,1089,69
2,1079,62
2,1056,46
2,1061,43
1,1018,91
1,1050,38
2,1088,24
1,1040,86
1,1007,29
2,1068,57
2,1067,71
