Class,Student ID,Score
2,1073,84
2,1100,6
2,1061,30
1,1010,99
2,1055,98
2,1064,14
1,1021,40
1,1019,50
2,1054,97
2,1071,88
2,1093,0
1,1013,30
1,1043,63
1,1020,28
1,1005,75
1,1003,11
1,1006,96
2,1098,78
1,1028,43
1,1013,41
2,1096,41
1,1033,95
2,1067,43
2,1097,71
1,1017,57
1,1030,79
2,1087,79
1,1038,67
2,1057,35
1,1011,36
1,1043,50
2,1051,18
2,1090,95
1,1007,13
1,1034,6
1,1013,35
2,1098,56
1,1044,35
1,1012,76
2,1094,2
2,1079,1
1,1048,59
2,1072,42
2,1069,6
2,1092,49
2,1081,87
1,1047,60
2,1080,56
1,1036,42
1,1049,61
1,1048,82
1,1020,59
1,1016,18
2,1076,43
2,1057,49
2,1052,15
2,1076,45
1,1037,18
2,1097,16
2,1079,70
1,1016,65
2,1078,29
1,1022,36
2,1072,99
2,1070,82
2,1053,81
1,1015,83
1,1002,94
2,1089,54
2,1055,8
2,1079,41
2,1098,64
1,1027,10
1,1021,75
1,1018,78
2,1061,83
1,1014,10
2,1078,75
2,1089,50
2,1099,56
2,1069,43
2,1052,57
2,1056,49
1,1040,87
2,1091,70
1,1049,69
1,1016,94
2,1064,63
2,1098,81
2,1079,95
1,1002,33
1,1001,18
1,1007,70
1,1042,49
2,1071,53
2,1097,50
1,1043,95
2,1084,66
1,1043,66
1,1002,14
1,1004,36
2,1097,19
1,1028,12
1,1014,67
2,1053,2
1,1013,92
1,1004,35
1,1050,9
2,1084,89
2,1098,81
2,1091,14
2,1094,24
1,1012,6
1,1033,88
1,1035,90
1,1019,42
1,1044,49
2,1072,98
2,1055,37
2,1061,79
1,1030,96
2,1052,49
1,1025,98
2,1098,93
1,1036,3
2,1051,79
1,1013,27
1,1043,69
2,1071,14
1,1007,33
2,1098,20
1,1011,86
2,1078,10
2,1090,20
2,1092,22
1,1034,1
2,1064,46
2,1086,59
2,1097,0
1,1024,47
1,1047,86
2,1076,8
1,1029,61
1,1002,81
2,1073,57
2,1051,87
2,1066,6
2,1057,65
1,1045,4
1,1010,14
2,1077,55
1,1038,63
2,1086,77
2,1094,63
1,1049,30
1,1038,2
1,1045,19
1,1002,20
2,1054,17
2,1067,5
2,1053,78
2,1098,27
2,1053,94
2,1054,58
1,1015,28
2,1056,90
1,1007,65
1,1034,77
1,1046,98
2,1087,58
1,1015,81
1,1017,21
2,1068,56
2,1051,17
1,1047,63
1,1017,96
2,1065,34
2,1095,55
2,1093,81
1,1016,0
2,1097,54
2,1096,11
1,1006,41
2,1071,58
2,1069,66
1,1023,77
1,1005,37
2,1081,10
2,1094,42
2,1067,76
2,1081,7
2,1062,19
1,1009,82
2,1072,47
1,1046,78
1,1043,41
2,1093,10
1,1006,24
1,1002,73
1,1002,60
2,1089,60
2,1059,72
2,1082,64
2,1056,11
2,1094,7
2,1078,62
1,1034,8
1,1048,5
1,1019,55
2,1086,67
1,1040,12
2,1100,62
1,1050,91
1,1045,42
2,1074,53
1,1019,13
1,1038,94
2,1055,42
2,1077,35
1,1026,45
1,1021,35
2,1068,97
1,1032,21
1,1041,39
2,1057,10
1,1041,67
1,1014,22
1,1004,10
2,1062,65
1,1050,75
2,1094,48
1,1008,68
2,1057,78
2,1063,35
2,1085,51
2,1092,41
1,1016,85
2,1081,86
2,1072,65
2,1086,4
2,1092,55
2,1100,34
1,1011,0
1,1006,28
1,1043,36
2,1068,16
1,1046,10
1,1007,60
1,1044,14
2,1095,99
2,1055,47
2,1079,72
1,1004,85
1,1018,10
1,1041,69
2,1091,31
1,1022,4
2,1055,51
2,1060,30
1,1050,78
2,1091,43
1,1001,63
2,1064,19
1,1028,98
2,1096,15
1,1044,89
1,1050,14
2,1052,83
1,1027,76
2,1085,65
1,1026,87
2,1069,1
2,1090,42
1,1020,44
1,1018,65
2,1073,8
2,1056,55
2,1073,89
1,1028,100
2,1051,26
2,1075,68
1,1004,96
1,1035,82
2,1097,10
1,1006,52
1,1032,24
2,1057,8
2,1068,57
1,1039,10
1,1024,55
2,1087,45
2,1065,47
1,1029,50
1,1037,11
2,1079,51
2,1061,47
2,1064,35
1,1010,50
2,1079,76
2,1052,54
2,1099,40
2,1098,46
2,1089,100
1,1050,13
1,1007,58
2,1057,53
2,1055,97
2,1058,67
1,1048,54
2,1095,56
1,1025,92
1,1026,35
1,1034,12
1,1004,96
1,1018,65
1,1017,22
2,1054,11
2,1095,91
1,1018,100
1,1011,96
1,1030,23
1,1012,24
2,1059,93
1,1020,19
1,1032,13
1,1041,5
1,1017,68
2,1083,76
2,1088,41
1,1015,31
1,1001,20
1,1027,36
1,1015,39
2,1087,82
2,1079,22
1,1042,24
1,1022,21
1,1031,41
2,1074,62
1,1002,9
2,1082,47
1,1018,18
2,1062,14
2,1065,8
1,1040,72
2,1081,47
1,1016,33
1,1039,39
1,1020,95
1,1015,54
2,1062,84
1,1045,93
1,1003,79
1,1017,50
2,1055,58
2,1051,41
2,1069,89
1,1040,29
1,1017,43
2,1052,71
1,1047,7
1,1022,80
2,1088,60
1,1031,82
2,1051,59
2,1092,90
1,1023,34
2,1094,65
1,1036,82
2,1053,26
2,1074,41
1,1036,36
2,1081,72
2,1089,75
1,1032,56
1,1046,74
1,1029,86
2,1051,1
2,1067,56
2,1080,23
1,1001,49
1,1020,36
2,1056,61
1,1005,83
2,1094,62
1,1038,70
2,1095,63
1,1035,36
1,1050,41
2,1051,59
2,1057,33
2,1092,97
2,1054,6
1,1035,28
1,1031,15
1,1033,96
2,1051,14
1,1020,31
2,1055,79
1,1028,10
1,1050,62
1,1046,98
2,1058,81
1,1013,45
2,1067,7
1,1035,29
2,1075,30
2,1091,95
2,1088,91
2,1099,78
1,1018,79
1,1033,13
1,1034,4
1,1027,97
1,1044,53
2,1064,15
1,1023,22
1,1001,93
1,1022,70
2,1078,55
1,1016,32
1,1001,82
1,1026,44
2,1076,30
1,1007,51
1,1015,64
2,1098,10
1,1015,80
1,1001,87
2,1093,64
1,1045,0
2,1073,30
2,1072,92
2,1077,26
2,1063,51
1,1035,94
2,1070,62
1,1026,54
1,1015,9
1,1003,79
1,1032,44
1,1020,27
2,1057,92
1,1027,17
2,1092,40
2,1064,29
1,1032,80
2,1064,97
1,1046,43
1,1049,31
2,1095,26
2,1089,5
1,1039,71
1,1010,55
2,1077,66
2,1086,41
1,1026,45
1,1045,40
2,1088,89
2,1072,97
2,1098,78
1,1028,19
1,1004,9
2,1089,40
1,1028,12
2,1094,93
1,1009,98
2,1063,54
2,1091,34
2,1097,41
1,1012,78
2,1055,74
1,1021,8
1,1048,85
1,1036,24
1,1027,100
2,1080,72
1,1007,38
1,1019,5
1,1006,40
2,1091,83
2,1084,17
1,1028,37
2,1065,63
1,1004,29
2,1072,15
1,1010,19
2,1083,32
2,1092,5
2,1086,41
1,1010,93
1,1045,0
2,1061,52
2,1074,73
1,1006,33
2,1059,92
1,1011,85
2,1096,19
2,1055,68
2,1073,31
2,1094,55
1,1050,20
2,1058,1
1,1015,48
1,1016,34
1,1016,19
2,1100,50
2,1060,12
2,1068,51
1,1050,98
2,1099,98
2,1094,63
1,1020,77
1,1034,95
2,1072,48
2,1081,2
2,1082,95
2,1060,54
2,1067,88
2,1071,78
1,1030,64
2,1073,53
1,1013,74
1,1010,20
2,1058,29
1,1005,99
1,1035,61
1,1022,45
2,1075,96
2,1058,67
1,1024,47
1,1009,90
2,1064,35
2,1100,44
2,1060,33
1,1026,12
1,1037,41
2,1097,8
1,1010,70
1,1041,31
1,1027,68
2,1096,31
1,1033,52
2,1095,93
1,1003,62
2,1055,28
1,1004,13
1,1048,17
1,1003,86
1,1035,64
2,1052,12
2,1055,27
1,1006,53
1,1033,1
1,1018,0
2,1053,95
1,1005,20
2,1079,98
2,1072,77
2,1057,93
2,1061,93
2,1055,72
2,1063,30
2,1058,99
2,1084,64
2,1075,16
1,1016,71
2,1072,36
1,1012,14
1,1018,54
2,1066,44
2,1058,61
1,1018,32
2,1055,32
1,1012,61
1,1032,79
1,1003,31
2,1083,30
1,1004,35
1,1046,41
2,1095,81
1,1050,2
1,1043,97
2,1064,98
1,1019,92
1,1023,69
2,1063,18
1,1027,11
2,1056,94
1,1016,65
1,1022,62
1,1049,54
1,1019,48
1,1032,61
2,1089,40
2,1057,28
1,1037,79
1,1042,23
2,1057,72
2,1066,18
1,1033,79
1,1022,63
1,1050,29
1,1008,77
1,1043,70
1,1007,81
1,1046,30
2,1099,49
2,1067,80
2,1072,39
2,1087,22
1,1012,67
2,1056,48
1,1025,52
1,1010,79
2,1070,28
2,1098,12
2,1073,90
2,1070,20
1,1029,0
2,1080,8
2,1071,25
1,1050,60
2,1073,97
2,1056,89
1,1004,10
1,1041,57
1,1020,16
1,1041,26
1,1011,18
2,1083,15
2,1069,54
1,1034,57
2,1063,21
2,1082,14
1,1007,70
2,1087,76
1,1047,84
2,1084,65
1,1010,84
1,1028,36
2,1095,45
2,1095,75
2,1084,79
1,1040,46
2,1080,84
2,1066,28
2,1089,40
1,1049,25
2,1074,74
2,1063,59
2,1052,100
1,1023,5
2,1068,89
1,1041,67
1,1049,82
1,1018,46
1,1004,41
1,1037,68
2,1057,13
2,1057,39
1,1035,90
1,1041,87
1,1043,84
2,1074,50
2,1098,53
2,1060,3
1,1014,99
2,1053,17
1,1014,42
2,1063,48
1,1040,57
1,1049,72
1,1021,9
2,1092,24
1,1006,46
1,1038,27
1,1013,87
2,1066,87
2,1094,69
1,1004,46
1,1006,61
2,1057,60
2,1059,5
2,1059,19
1,1029,63
2,1082,44
2,1075,99
2,1078,24
2,1070,96
2,1066,16
2,1072,6
1,1040,23
2,1051,77
2,1055,5
1,1020,80
1,1033,54
1,1032,93
2,1084,99
2,1100,27
1,1013,53
2,1078,69
1,1037,86
2,1083,81
1,1019,46
2,1061,82
1,1004,98
1,1014,26
2,1058,89
1,1007,89
1,1031,26
2,1087,12
1,1034,99
1,1009,29
1,1016,79
1,1032,100
2,1052,46
1,1002,90
1,1007,23
1,1019,28
2,1065,63
2,1068,70
1,1033,13
2,1072,21
2,1091,90
1,1008,19
2,1091,16
2,1073,74
1,1016,63
1,1042,52
2,1088,22
1,1036,41
1,1011,7
1,1041,55
2,1097,18
1,1035,36
1,1040,34
2,1089,9
2,1082,15
1,1029,14
1,1044,44
2,1060,45
1,1043,5
1,1020,2
2,1082,81
1,1040,71
2,1099,68
2,1054,61
2,1053,80
1,1036,36
2,1097,94
1,1010,87
2,1084,47
2,1094,31
1,1049,52
1,1041,13
1,1041,22
1,1039,1
2,1066,76
2,1080,42
2,1086,47
1,1047,1
1,1015,52
1,1002,45
2,1096,67
2,1093,39
2,1093,40
1,1005,83
1,1038,38
1,1029,65
1,1047,64
1,1004,62
2,1062,14
1,1006,39
1,1039,12
1,1015,0
1,1007,69
2,1083,29
1,1027,15
2,1082,84
2,1083,97
2,1100,26
2,1075,5
2,1079,53
1,1048,66
2,1088,22
2,1094,28
2,1073,60
1,1009,13
2,1080,72
1,1030,2
1,1047,28
2,1095,61
2,1058,34
2,1084,15
1,1032,62
2,1081,85
1,1009,82
1,1020,36
1,1024,41
2,1075,20
1,1041,83
2,1093,24
